Country Name,Happiness_Score 2015,Happiness_Score 2016,Happiness_Score 2017,Happiness_Score 2018,Happiness_Score 2019,Family 2015,Family 2016,Family 2017,Family 2018,Family 2019,Freedom 2015,Freedom 2016,Freedom 2017,Freedom 2018,Freedom 2019,Trust_(Government_Corruption) 2015,Trust_(Government_Corruption) 2016,Trust_(Government_Corruption) 2017,Trust_(Government_Corruption) 2018,Trust_(Government_Corruption) 2019,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019
Mauritania,4.436,4.201,4.29199981689453,4.356,4.49,0.86908,0.84142,1.2720308303833,1.245,1.167,0.24232,0.1268,0.0960980430245399,0.129,0.066,0.17461,0.17955,0.136957004666328,0.093,0.088,0.219,0.22686,0.201870024204254,0.134,0.106
Moldavia,5.889,5.897,5.83799982070923,5.64,5.529,1.01528,0.83132,1.25182557106018,1.301,1.328,0.32818,0.25202,0.240729048848152,0.232,0.245,0.01615,0.01903,0.0100912861526012,0.0,0.0,0.20951,0.19997,0.208779126405716,0.171,0.181
Mongolia,4.874,4.907,4.95499992370605,5.125,5.285,1.3006,1.08983,1.4930112361908,1.517,1.531,0.43626,0.35972,0.394143968820572,0.395,0.317,0.02666,0.03285,0.0329022891819477,0.032,0.038,0.3323,0.34539,0.338464230298996,0.253,0.235
Montenegro,5.192,5.161,5.23699998855591,5.347,5.523,0.90557,0.74173,1.23837649822235,1.279,1.361,0.1826,0.15111,0.194989055395126,0.259,0.197,0.14296,0.12721,0.0881741940975189,0.081,0.08,0.1614,0.17191,0.197911024093628,0.111,0.142
Mozambique,4.7715714830671345,4.660785836900997,4.55000019073486,4.417,4.466,0.9640631471415944,0.9173820810685847,0.870701014995575,0.902,0.986,0.4077231691196914,0.4442571305193182,0.480791091918945,0.531,0.494,0.16299896732330232,0.17121767647743166,0.179436385631561,0.158,0.138,0.248745172536033,0.2854866382060735,0.322228103876114,0.206,0.197
México,7.187,6.778,6.57800006866455,6.488,6.595,0.91451,0.7146,1.210862159729,1.252,1.323,0.48181,0.37709,0.412730008363724,0.479,0.433,0.21312,0.18355,0.132774114608765,0.095,0.073,0.14074,0.11735,0.120990432798862,0.069,0.074
Namibia,4.541499940872188,4.574,4.57399988174438,4.441,4.639,0.596355403537757,0.70362,1.0984708070755,1.281,1.313,0.5457917736911782,0.48614,0.520303547382355,0.519,0.401,0.12255348617911466,0.10398,0.0931469723582268,0.064,0.056,0.08151687247753259,0.07795,0.0771337449550629,0.051,0.07
Nepal,4.514,4.793,4.96199989318848,4.88,4.913,0.86449,0.69699,1.17928326129913,1.228,1.226,0.38282,0.37012,0.440305948257446,0.526,0.439,0.05907,0.07008,0.0729755461215973,0.078,0.089,0.32296,0.3816,0.394096165895462,0.302,0.285
Nicaragua,5.828,5.992,6.07100009918213,6.141,6.105,1.14184,0.89521,1.28721570968628,1.319,1.325,0.55475,0.46582,0.447551846504211,0.527,0.435,0.19317,0.16292,0.130687981843948,0.128,0.127,0.27815,0.29773,0.301674216985703,0.208,0.2
Nigeria,5.268,4.875,5.07399988174438,5.155,5.265,0.90432,0.64498,1.21577048301697,1.172,1.111,0.34334,0.27854,0.394952565431595,0.462,0.426,0.0403,0.0305,0.0261215660721064,0.032,0.041,0.27233,0.23219,0.230947196483612,0.201,0.215
North Cyprus,5.873666590372721,5.931166561762495,5.80999994277954,4.2537014628092455,2.6974029828389514,1.1411045028686573,1.1992161914443926,1.18630337715149,0.9397838626352942,0.6932643481190985,0.44674483360290296,0.4372116462039948,0.471203625202179,0.3698683512136677,0.26853307722515635,0.16719780323664502,0.17347447945038752,0.155353352427483,0.19326032522943312,0.23116729803138325,0.26907427083333335,0.2716521223958335,0.266845703125,0.266845703125,0.266845703125
Northern Cyprus,6.185999999999979,6.068999999999988,5.951999999999998,5.835,5.718,1.0879999999999939,1.1289999999999907,1.1699999999999875,1.211,1.252,0.7290000000000134,0.6510000000000105,0.5730000000000075,0.495,0.417,0.13000000000000078,0.1379999999999999,0.14599999999999902,0.154,0.162,0.14299999999999713,0.15499999999999758,0.16699999999999804,0.179,0.191
Noruega,7.522,7.498,7.53700017929077,7.594,7.554,1.33095,1.1269,1.53352355957031,1.582,1.582,0.66973,0.59609,0.635422587394714,0.686,0.603,0.36503,0.35776,0.315963834524155,0.34,0.341,0.34699,0.37895,0.36201223731041,0.286,0.271
Nueva Zelanda,7.286,7.334,7.31400012969971,7.324,7.307,1.31967,1.17278,1.54819512367249,1.601,1.557,0.63938,0.58147,0.614062130451202,0.669,0.585,0.42922,0.41904,0.382816702127457,0.389,0.38,0.47501,0.49401,0.500005125999451,0.365,0.33
Níger,3.845,3.856,4.02799987792969,4.166,4.628,0.77265,0.6053,0.993025004863739,0.867,0.774,0.47692,0.38041,0.36365869641304,0.39,0.318,0.15639,0.17176,0.138572946190834,0.099,0.102,0.19387,0.2097,0.228673845529556,0.175,0.188
Omán,6.853,5.698764,4.544528,3.3902920000000005,2.2360560000000005,1.08182,0.992004,0.902188,0.812372,0.722556,0.63274,0.57124,0.50974,0.44823999999999997,0.38674,0.32524,0.303276,0.281312,0.25934799999999997,0.23738399999999998,0.21542,0.21542,0.21542,0.21542,0.21542
Pakistán,5.194,5.132,5.26900005340576,5.472,5.653,0.41411,0.26135,0.672690689563751,0.81,0.886,0.12102,0.14622,0.23521526157856,0.334,0.313,0.10464,0.1388,0.124348066747189,0.113,0.098,0.33671,0.31185,0.315446019172668,0.216,0.22
Panamá,6.786,6.701,6.4520001411438,6.43,6.321,1.1985,0.98912,1.37319254875183,1.438,1.442,0.5421,0.48927,0.550026834011078,0.597,0.516,0.0927,0.08423,0.070983923971653,0.063,0.054,0.24434,0.2418,0.21055693924427,0.125,0.109
Paraguay,5.878,5.538,5.49300003051758,5.681,5.743,1.30477,1.11111,1.50728487968445,1.522,1.475,0.53899,0.46235,0.473507791757584,0.541,0.514,0.08242,0.07396,0.091065913438797,0.074,0.08,0.3424,0.25296,0.224150657653809,0.162,0.184
Países Bajos,7.378,7.339,7.3769998550415,7.441,7.488,1.28017,1.02912,1.42893922328949,1.488,1.522,0.61576,0.55211,0.585384488105774,0.638,0.557,0.31814,0.29927,0.282661825418472,0.295,0.298,0.4761,0.47416,0.470489829778671,0.333,0.322
Perú,5.824,5.743,5.71500015258789,5.663,5.697,0.97459,0.81255,1.21877038478851,1.249,1.274,0.41496,0.37502,0.450002878904343,0.53,0.455,0.05989,0.05292,0.0470490865409374,0.034,0.027,0.14982,0.14527,0.126819714903831,0.092,0.083
Polonia,5.791,5.835,5.97300004959106,6.123,6.182,1.27948,1.04685,1.44571197032928,1.448,1.438,0.53122,0.4519,0.520342111587524,0.546,0.483,0.04212,0.055,0.0593078061938286,0.064,0.05,0.16759,0.14443,0.158465966582298,0.108,0.117
Portugal,5.102,5.123,5.19500017166138,5.41,5.693,1.13935,0.94367,1.36704301834106,1.429,1.431,0.51469,0.44727,0.498465299606323,0.562,0.508,0.01078,0.01521,0.0158694516867399,0.017,0.025,0.13719,0.11691,0.0951027125120163,0.055,0.047
Puerto Rico,5.368203410614338,7.039,5.847426,4.655851999999999,3.464278,2.272704,1.08113,0.9585499999999999,0.8359699999999999,0.71339,0.59081,0.46823,0.399134,0.33003799999999994,0.26094199999999995,0.19184599999999996,0.12275,0.142604,0.162458,0.182312,0.202166,0.22202,0.22202,0.22202,0.22202
Reino Unido,6.867,6.725,6.71400022506714,7.19,7.054,1.28548,1.08672,1.49646008014679,1.433,1.538,0.59625,0.50036,0.508190035820007,0.464,0.45,0.32067,0.27399,0.265428066253662,0.082,0.278,0.51912,0.50156,0.492774158716202,0.262,0.348
